タイムスタンプ,スコア,あなたが使っているパソコンはどちらですか,macを選んだ人へ質問です。満足度について1~5で回答をしてください。,使いやすさについて1~5で回答してください,満足度について1~5で回答してください。,使いやすさについて1~5で回答してください。
2024/01/11 12:01:02,,mac,3,3,,
2024/01/11 12:02:01,,mac,5,5,,
2024/01/11 12:05:32,,mac,5,4,,
2024/01/11 12:06:57,,mac,4,4,,
2024/01/11 12:09:32,,mac,4,4,,
2024/01/11 12:20:50,,mac,1,1,,
2024/01/11 12:24:31,,mac,5,5,,
2024/01/11 12:42:10,,mac,4,5,,
2024/01/11 12:48:14,,mac,4,4,,
2024/01/11 13:01:28,,mac,2,3,,
2024/01/11 13:41:11,,mac,5,5,,
2024/01/11 14:27:21,,mac,4,5,,
2024/01/11 14:41:46,,mac,4,4,,
2024/01/11 14:58:59,,mac,4,4,,
2024/01/11 15:08:40,,mac,4,4,,
2024/01/11 16:57:18,,mac,4,4,,
2024/01/11 18:43:26,,mac,3,3,,
2024/01/11 19:05:16,,mac,5,5,,
2024/01/11 23:04:38,,mac,4,3,,
2024/01/11 23:30:41,,mac,4,4,,
2024/01/12 16:11:27,,mac,4,5,,
2024/01/13 21:58:30,,mac,4,4,,